ts,solve_p99,solve_max,queue_wait_p99_bf,queue_wait_p99_pfw,queue_depth_bf,queue_depth_pfw
01:01:51,0.05744656804895629,0.060846829,0.00007678509312528457,0.00005863961666603404,0,0
01:02:02,0.07111194070905043,0.098687513,0.00007485931270014442,0.004584381755918619,0,0
01:02:13,0.06826896459801594,0.098687513,0.00007485931270014442,0.002766699944925614,0,0
01:02:23,0.0768346158199039,0.098687513,0.0000776188664052682,0.00460643968509938,0,0
01:02:34,0.0768346158199039,0.139488682,0.00007929781078315583,0.07304350812043957,0,0
01:02:45,0.07559992305352627,0.139488682,0.00008043187248216707,0.00010410609489783462,0,0
01:02:56,0.07414741938212992,0.139488682,0.00008230324383043997,0.00010410609489783462,0,0
01:03:06,0.07414741938212992,0.139488682,0.00008043187248216707,0.005378745973435897,0,0
01:03:17,0.08408727652745762,0.139488682,0.0000790919042688957,0.07304350812043957,0,0
01:03:28,0.07556968913139162,0.139466978,0.00007298183110613012,0.00010385653985508563,0,0
01:03:38,0.07214336106236048,0.139466978,0.0000744115015991862,0.00010385653985508563,0,0
01:03:49,0.06792847171545717,0.139466978,0.00007788321969786447,0.0019799176505953795,0,0
01:04:00,0.06792847171545717,0.139466978,0.00007926609800171586,0.07286841389747964,0,0
01:04:10,0.06487454090579925,0.099512817,0.00008051234458426239,0.03292575777675413,0,0
01:04:21,0.06610571909179251,0.138149489,0.00008051234458426239,0.06514758697387911,0,0
01:04:32,0.06737373577127938,0.138149489,0.00007993473758179936,0.00009285234302663139,0,0
01:04:42,0.06750861808062009,0.138149489,0.00008504755084032775,0.00009285234302663139,0,0
01:04:53,0.06887238263379458,0.138149489,0.00008741007248234336,0.0016881871361917704,0,0
01:05:04,0.07734340143163951,0.141023512,0.00008741007248234336,0.00010606058871420954,0,0
01:05:15,0.07294131875797497,0.141023512,0.00008741007248234336,0.00010606058871420954,0,0
01:05:25,0.07294131875797497,0.141023512,0.00008767269643963388,0.00010606058871420954,0,0
01:05:36,0.07211450948853884,0.141023512,0.0000986137320520953,0.0017609531991032222,0,0
01:05:47,0.06547414061361656,0.139418687,0.0000986137320520953,0.00010375273522584949,0,0
01:05:57,0.07109771974300523,0.139418687,0.00008559360066311013,0.00010375273522584949,0,0
01:06:09,0.07109771974300523,0.139418687,0.00008339684856479921,0.0058477399709270335,0,0
01:06:20,0.07622239105555659,0.139418687,0.00008240206700541222,0.0058477399709270335,0,0
01:06:30,0.08245521237822105,0.130003698,0.00007570244975915253,0.00009043311547347062,0,0
01:06:41,0.08253770883222655,0.137180107,0.00007457538711121342,0.00010210590126077518,0,0
01:06:52,0.10587458852025035,0.163497222,0.00007445616189704404,0.09804781484271026,0,0
01:07:02,0.10204922208791976,0.163497222,0.0000791552031086819,0.00013974376887415971,0,0
01:07:13,0.09255983183378627,0.163497222,0.00007735541038763806,0.00013974376887415971,0,0
01:07:24,0.08488142357301619,0.163497222,0.00008093209919363755,0.00013974376887415971,0,0
01:07:34,0.07876393902315698,0.163497222,0.00008598823819792871,0.09804781484271026,0,0
01:07:45,0.07711171892409548,0.163497222,0.00008641925603699929,0.09804781484271026,0,0
01:07:56,0.07142552262351537,0.105661414,0.00008036755271530396,0.03971207363430779,0,0
01:08:07,0.07145409854746379,0.130074149,0.00007664700427444853,0.0005443598558639192,0,0
01:08:17,0.07145409854746379,0.130074149,0.00008036755271530396,0.00007023245464561017,0,0
01:08:28,0.07142552262351537,0.130074149,0.00007906027383359152,0.005601616723498353,0,0
01:08:39,0.08450876575647023,0.130074149,0.00007958379736991918,0.058408140048574024,0,0
01:08:49,0.08776433983094899,0.124085394,0.00008054455596404992,0.0000832468692587525,0,0
01:09:00,0.08450876575647023,0.124085394,0.00008056066648629503,0.0000832468692587525,0,0
01:09:11,0.08776433983094899,0.124085394,0.0000825340158439824,0.019214308979377537,0,0
01:09:21,0.07292673195290389,0.124085394,0.00008027116949322359,0.007469703137001572,0,0
01:09:32,0.07119732625926979,0.123025498,0.00008027116949322359,0.0040659818674111175,0,0
01:09:43,0.07063001989837889,0.123025498,0.00007872891701879136,0.002943075887125504,0,0
01:09:53,,,,,,
01:10:04,,,,,,
01:10:15,,,,,,
01:10:25,,,,,,
01:10:36,,,,,,
01:10:47,,,,,,
01:10:58,,,,,,
01:11:08,,,,,,
01:11:19,,,,,,
01:11:30,,,,,,
